hour,weekday
8,Tuesday
16,Monday
16,Monday
16,Monday
16,Monday
16,Sunday
22,Friday
22,Thursday
22,Thursday
22,Thursday
22,Thursday
22,Thursday
22,Thursday
21,Thursday
21,Thursday
21,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
15,Wednesday
20,Monday
20,Monday
20,Monday
20,Monday
20,Monday
20,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
18,Monday
18,Monday
18,Monday
18,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
16,Monday
16,Monday
16,Monday
16,Monday
14,Monday
23,Sunday
23,Sunday
23,Sunday
23,Sunday
23,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
22,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
20,Friday
20,Friday
20,Friday
20,Friday
19,Thursday
18,Thursday
17,Thursday
16,Thursday
15,Thursday
15,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
17,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Thursday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
16,Tuesday
16,Tuesday
15,Tuesday
15,Tuesday
10,Tuesday
9,Tuesday
13,Monday
13,Monday
11,Monday
11,Monday
13,Saturday
13,Saturday
13,Saturday
12,Saturday
12,Saturday
12,Saturday
11,Friday
11,Friday
9,Friday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
23,Thursday
22,Thursday
22,Thursday
22,Thursday
14,Thursday
14,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
12,Thursday
12,Thursday
12,Thursday
9,Thursday
9,Thursday
9,Thursday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
14,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
21,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
15,Thursday
15,Thursday
20,Tuesday
20,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
3,Sunday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
20,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
19,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
18,Tuesday
17,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
13,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
16,Saturday
16,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
14,Saturday
12,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
10,Saturday
20,Thursday
20,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
19,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
9,Thursday
9,Thursday
9,Thursday
9,Thursday
21,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
20,Wednesday
19,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
23,Tuesday
23,Tuesday
23,Tuesday
18,Tuesday
20,Monday
20,Monday
20,Monday
20,Monday
20,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
20,Wednesday
1,Tuesday
0,Tuesday
13,Monday
13,Monday
13,Monday
13,Monday
13,Monday
13,Monday
13,Monday
13,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
19,Sunday
19,Sunday
19,Sunday
19,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
18,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
17,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
16,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
15,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
14,Sunday
0,Friday
23,Thursday
11,Tuesday
16,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
10,Thursday
17,Wednesday
17,Wednesday
17,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
16,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
14,Wednesday
12,Saturday
10,Thursday
20,Wednesday
22,Sunday
12,Sunday
22,Saturday
21,Saturday
21,Saturday
21,Saturday
19,Wednesday
19,Wednesday
18,Wednesday
17,Wednesday
17,Wednesday
17,Wednesday
17,Wednesday
16,Wednesday
15,Wednesday
16,Tuesday
16,Tuesday
16,Tuesday
15,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
14,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
12,Tuesday
12,Tuesday
21,Monday
19,Monday
23,Saturday
3,Friday
19,Sunday
18,Saturday
13,Saturday
13,Saturday
12,Saturday
12,Saturday
16,Friday
15,Friday
11,Monday
11,Monday
12,Sunday
12,Sunday
17,Saturday
16,Saturday
16,Saturday
12,Saturday
21,Thursday
20,Thursday
13,Tuesday
21,Monday
16,Monday
15,Monday
12,Monday
12,Monday
12,Monday
11,Monday
11,Monday
16,Sunday
23,Saturday
22,Saturday
22,Saturday
21,Saturday
21,Saturday
20,Saturday
20,Saturday
20,Saturday
19,Saturday
19,Saturday
19,Saturday
19,Saturday
18,Saturday
18,Saturday
18,Saturday
18,Saturday
17,Saturday
17,Saturday
13,Saturday
13,Saturday
12,Saturday
7,Friday
23,Thursday
23,Thursday
9,Tuesday
22,Monday
14,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
13,Friday
1,Friday
1,Friday
1,Friday
1,Friday
1,Friday
1,Friday
1,Friday
1,Friday
22,Thursday
21,Thursday
20,Thursday
20,Thursday
19,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
11,Thursday
9,Tuesday
18,Saturday
14,Thursday
14,Thursday
12,Thursday
20,Wednesday
20,Wednesday
20,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Tuesday
14,Sunday
12,Friday
11,Friday
11,Friday
10,Friday
10,Friday
17,Thursday
14,Wednesday
8,Wednesday
8,Wednesday
18,Tuesday
15,Tuesday
11,Tuesday
11,Monday
15,Thursday
8,Tuesday
13,Monday
13,Monday
20,Sunday
20,Saturday
19,Saturday
22,Thursday
21,Thursday
19,Tuesday
19,Tuesday
12,Tuesday
11,Tuesday
15,Monday
14,Monday
18,Sunday
3,Sunday
3,Sunday
1,Sunday
1,Sunday
15,Saturday
11,Friday
19,Thursday
18,Thursday
18,Thursday
9,Thursday
16,Wednesday
16,Wednesday
20,Friday
19,Friday
18,Friday
18,Friday
18,Friday
18,Friday
18,Friday
18,Friday
15,Tuesday
22,Sunday
21,Sunday
22,Friday
22,Friday
21,Friday
21,Friday
19,Friday
19,Friday
17,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
12,Friday
11,Friday
17,Thursday
17,Thursday
11,Wednesday
10,Wednesday
22,Tuesday
20,Tuesday
17,Tuesday
14,Tuesday
12,Tuesday
22,Monday
21,Monday
16,Monday
15,Monday
11,Sunday
19,Saturday
11,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
9,Saturday
9,Saturday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
13,Tuesday
13,Tuesday
8,Tuesday
17,Monday
17,Monday
16,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
15,Wednesday
14,Wednesday
14,Wednesday
13,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
13,Tuesday
12,Tuesday
12,Tuesday
15,Monday
14,Monday
14,Monday
21,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
23,Friday
22,Friday
22,Friday
14,Friday
23,Thursday
22,Thursday
22,Thursday
22,Thursday
22,Thursday
21,Thursday
21,Thursday
20,Thursday
18,Thursday
17,Thursday
17,Thursday
16,Thursday
15,Thursday
11,Thursday
10,Thursday
10,Thursday
8,Thursday
8,Thursday
18,Wednesday
16,Wednesday
15,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
14,Wednesday
13,Wednesday
13,Wednesday
11,Tuesday
11,Tuesday
10,Tuesday
10,Tuesday
10,Tuesday
9,Tuesday
21,Monday
21,Monday
21,Monday
18,Monday
18,Monday
10,Monday
9,Monday
9,Monday
21,Sunday
21,Sunday
20,Sunday
16,Sunday
11,Sunday
11,Sunday
10,Sunday
10,Sunday
10,Sunday
21,Saturday
20,Saturday
18,Saturday
18,Saturday
18,Saturday
10,Saturday
10,Saturday
16,Friday
15,Friday
14,Friday
11,Friday
11,Friday
11,Friday
11,Friday
11,Friday
11,Friday
11,Friday
11,Friday
17,Thursday
17,Thursday
16,Thursday
14,Thursday
11,Thursday
10,Thursday
9,Thursday
7,Thursday
7,Thursday
22,Wednesday
22,Wednesday
21,Wednesday
21,Wednesday
21,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
16,Wednesday
15,Wednesday
12,Tuesday
10,Tuesday
10,Tuesday
9,Tuesday
9,Tuesday
9,Tuesday
2,Tuesday
1,Tuesday
1,Tuesday
1,Tuesday
0,Tuesday
0,Tuesday
0,Tuesday
23,Monday
23,Monday
14,Saturday
13,Saturday
13,Friday
22,Thursday
22,Thursday
21,Thursday
21,Thursday
21,Thursday
20,Thursday
19,Thursday
19,Thursday
18,Tuesday
18,Tuesday
18,Tuesday
16,Tuesday
12,Tuesday
12,Tuesday
12,Tuesday
19,Monday
19,Monday
19,Monday
19,Monday
19,Monday
18,Monday
18,Monday
18,Monday
14,Monday
11,Monday
11,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
10,Monday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
20,Sunday
13,Sunday
13,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
12,Sunday
21,Saturday
21,Saturday
19,Saturday
19,Saturday
20,Monday
20,Monday
20,Monday
19,Monday
19,Monday
17,Monday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
20,Thursday
17,Thursday
16,Thursday
14,Thursday
14,Thursday
14,Thursday
14,Thursday
14,Thursday
14,Thursday
14,Thursday
14,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
13,Thursday
18,Wednesday
18,Wednesday
15,Wednesday
14,Wednesday
11,Wednesday
9,Wednesday
21,Tuesday
20,Tuesday
16,Tuesday
14,Tuesday
13,Tuesday
10,Tuesday
8,Tuesday
8,Tuesday
22,Monday
18,Monday
18,Monday
18,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
17,Monday
16,Monday
16,Monday
16,Monday
15,Monday
15,Monday
15,Monday
15,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
14,Monday
13,Saturday
13,Saturday
2,Friday
2,Friday
2,Friday
18,Thursday
15,Thursday
13,Thursday
13,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
12,Thursday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
19,Wednesday
18,Wednesday
18,Wednesday
16,Wednesday
13,Wednesday
13,Wednesday
13,Wednesday
13,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
12,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
11,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
10,Wednesday
9,Wednesday
9,Wednesday
9,Wednesday
9,Wednesday
8,Wednesday
7,Wednesday
7,Wednesday
7,Wednesday
7,Wednesday
20,Tuesday
20,Tuesday
17,Tuesday
14,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
13,Tuesday
12,Tuesday
12,Tuesday
12,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
11,Tuesday
8,Tuesday
8,Tuesday
8,Tuesday
8,Tuesday
8,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
7,Tuesday
18,Monday
18,Monday
13,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
12,Monday
11,Monday
11,Monday
11,Monday
21,Sunday
11,Sunday
11,Sunday
11,Sunday
11,Sunday
11,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
10,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
2,Sunday
21,Saturday
21,Saturday
21,Saturday
21,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
20,Saturday
19,Saturday
19,Saturday
19,Saturday
19,Saturday
19,Saturday
18,Saturday
18,Saturday
18,Saturday
18,Saturday
18,Saturday
18,Saturday
18,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
17,Saturday
16,Saturday
16,Saturday
16,Saturday
16,Saturday
16,Saturday
16,Saturday
16,Saturday
16,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
12,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
11,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
10,Saturday
9,Saturday
9,Saturday
9,Saturday
9,Saturday
18,Friday
17,Friday
17,Friday
17,Friday
17,Friday
17,Friday
17,Friday
17,Friday
17,Friday
17,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
16,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
15,Friday
10,Friday
10,Friday
10,Friday
10,Friday
7,Friday
21,Thursday
